question_type,canonical_qtype,relationship_path,keywords,description,detailed_description,supported_in_current_kg
ingredients,ingredients,Dish -[hasIngredient]-> Ingredient,"nguyên liệu chính, thành phần đạm, mùi thơm, cấu trúc hương vị",Vai trò của các nguyên liệu chính và sự đóng góp của chúng vào hương vị tổng thể.,"Xác định các nguyên liệu then chốt xuất hiện trong món ăn, vai trò của chúng trong việc tạo ra mùi thơm và cấu trúc hương vị đặc trưng cho thực thể.",true
cooking_technique,cooking_technique,Dish -[cookingTechnique]-> CookingTechnique,"kỹ thuật nấu, phương pháp chế biến, kết cấu thực phẩm, biến đổi màu sắc",Sự khác biệt của kỹ thuật chế biến và tác động của nó lên kết cấu và màu sắc món ăn.,"Phân tích cách phương pháp chế biến (ninh, nướng, hấp...) tạo ra sự khác biệt so với các món tương tự, ảnh hưởng đến độ giòn, mềm và sắc thái thị giác.",true
flavor_profile,flavor_profile,Dish -[flavorProfile]-> FlavorProfile,"cân bằng vị giác, umami, chua mặn ngọt cay, hài hòa",Sự cân bằng giữa các vị giác chủ đạo và cách chúng nâng cao trải nghiệm thưởng thức.,"Khám phá cách món ăn tạo ra sự hài hòa giữa các vị cay, chua, mặn, ngọt và cách sự đa dạng vị giác này phản ánh đặc trưng của thực thể.",true
origin_locality,origin_locality,Dish -[originRegion]-> Region,"nguồn gốc địa phương, vùng miền, sản vật, địa danh xuất xứ",Mối liên hệ giữa món ăn và đặc sản vùng miền hoặc nguồn gốc tỉnh thành.,Truy xuất các thông tin về chỉ dẫn địa lý và cách món ăn kết nối với văn hóa nông nghiệp hoặc sản vật đặc thù của địa phương đó.,true
allergen_restrictions,allergen_restrictions,Dish -> Ingredient -[hasAllergen]-> Allergen,"chất gây dị ứng, mẫn cảm, an toàn thực phẩm, allergen-free",Xác định các tác nhân gây dị ứng và đề xuất các phương pháp chế biến hoặc nguyên liệu thay thế.,Truy xuất các triples liên quan đến chất gây dị ứng (2-hop) để đưa ra cảnh báo hoặc gợi ý các lựa chọn an toàn hơn cho người có nhu cầu đặc biệt.,true
dietary_restrictions,dietary_restrictions,Dish -> Ingredient -[hasDietaryTag]-> DietaryTag,"ăn chay, thuần thực vật, thực đơn kiêng, animal product",Phân loại món ăn dựa trên các tiêu chuẩn ăn kiêng (chay/mặn) thông qua nhãn của nguyên liệu.,Sử dụng dữ liệu 2-hop để xác định tính phù hợp của món ăn với các chế độ ăn thuần thực vật hoặc hạn chế sản phẩm động vật.,true
ingredient_category,ingredient_category,Dish -> Ingredient -[ingredientCategory]-> IngredientCategory,"nhóm thực phẩm, loại đạm, ngũ cốc, protein source",Phân loại chuyên sâu các nguyên liệu thành các nhóm thực phẩm lớn để phân tích cấu trúc bữa ăn.,"Thực hiện truy vấn 2-hop để hiểu rõ món ăn được xây dựng từ nhóm thực phẩm nào (hải sản, thịt đỏ, tinh bột) và tỷ lệ cân bằng giữa chúng.",true
food_pairings,food_pairings,Dish -[servedWith]-> SideDish,"món ăn kèm truyền thống, nước chấm, sự kết hợp hoàn hảo",Các thực thể bổ trợ và cách chúng tương tác để làm nổi bật hương vị món chính.,"Tìm kiếm các quan hệ phục vụ kèm theo (rau sống, quẩy, đồ chua) và phân tích lý do tại sao sự kết hợp này lại mang tính truyền thống.",true
dish_classification,dish_classification,Dish -[dishType]-> DishType,"phân loại món ăn, cấu trúc trình bày, món nước, món khô",Định nghĩa món ăn dựa trên hình thức và cấu trúc trình bày vật lý.,"Xác định vị trí của món ăn trong hệ thống phân loại ẩm thực (món bún, món cơm, bánh...) để hướng dẫn người dùng về cách tiếp cận món ăn.",true
substitution_rules,substitution_rules,Dish -[hasSubRule]-> SubstitutionRule; SubRule_X -[fromIngredient]-> Ingredient_1; SubRule_X -[toIngredient]-> Ingredient_2,"thay thế nguyên liệu, tương đương, biến thể, đổi món",Khả năng thay đổi thành phần mà vẫn giữ được đặc trưng của món ăn hoặc cải thiện dinh dưỡng.,Truy xuất các quy tắc thay thế (reification) để tư vấn cho người dùng cách đổi nguyên liệu khi thiếu hụt hoặc cần điều chỉnh khẩu vị.,true
